ID,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RecentDelq_1yr,RecentDeql_2yr,RecentInquiry_1yr_excl7days,RcentInquiry_2yr_excl7days,MaxDelqEver_0.0,MaxDelqEver_0.2,MaxDelqEver_0.4,MaxDelqEver_0.6000000000000001,MaxDelqEver_0.8,MaxDelqEver_1.0,MaxDelq2PublicRecLast12M_0.0,MaxDelq2PublicRecLast12M_0.2,MaxDelq2PublicRecLast12M_0.4,MaxDelq2PublicRecLast12M_0.6000000000000001,MaxDelq2PublicRecLast12M_0.8,MaxDelq2PublicRecLast12M_1.0
1,0.360655738,0.177278402,0.017621145,0.251572327,0.253164557,0.157894737,0,0.83,0.221153846,0.052631579,0.43,0,0,0.142241379,0.157112527,0.25,0.290322581,0.055555556,0.69,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.459016393,0.069912609,0.066079295,0.116352201,0.025316456,0.210526316,0.210526316,1,0.067307692,0,0.67,0,0,0,0.157112527,0,0,0.055555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.557377049,0.079900125,0.022026432,0.062893082,0.113924051,0,0,1,0.086538462,0.210526316,0.44,0.060606061,0.060606061,0.228448276,0.140127389,0.125,0.322580645,0.055555556,0.86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,0.540983607,0.208489388,0.004405286,0.216981132,0.35443038,0.052631579,0.052631579,0.93,0.288461538,0.157894737,0.57,0.075757576,0.060606061,0.310344828,0.176220807,0.1875,0.387096774,0.166666667,0.91,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,0.786885246,0.413233458,0.118942731,0.402515723,0.151898734,0,0,1,0.115384615,0,0.25,0.015151515,0.015151515,0.219827586,0.18895966,0.09375,0.290322581,0,0.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,0.426229508,0.168539326,0.04845815,0.232704403,0.392405063,0,0,0.91,0.307692308,0.052631579,0.47,0,0,0.267241379,0.197452229,0.375,0.387096774,0.166666667,0.94,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,0.344262295,0.107365793,0.030837004,0.103773585,0.316455696,0,0,0.92,0.25,0.157894737,0.58,0.060606061,0.060606061,0.38362069,0.161358811,0.21875,0.483870968,0.111111111,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,0.573770492,0.18227216,0.030837004,0.191823899,0.215189873,0,0,0.83,0.173076923,0.052631579,0.44,0,0,0.120689655,0.101910828,0.0625,0.322580645,0.111111111,0.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,0.426229508,0.401997503,0.008810573,0.421383648,0.303797468,0,0,0.85,0.259615385,0.052631579,0.26,0.015151515,0.015151515,0.293103448,0.157112527,0.21875,0.290322581,0.166666667,0.9,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10,0.459016393,0.096129838,0.017621145,0.100628931,0.240506329,0,0,0.95,0.182692308,0.157894737,0.26,0.090909091,0.090909091,0.13362069,0.182590234,0.15625,0.35483871,0.055555556,0.62,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,0.803278689,0.117353308,0.022026432,0.135220126,0.202531646,0,0,1,0.153846154,0.157894737,0.31,0,0,0.064655172,0.186836518,0.125,0.322580645,0,0.67,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
